"line1","col1","line2","col2","id","parent","token","terminal","text"
175,3,175,11,600,602,"SYMBOL_FUNCTION_CALL",TRUE,"UseMethod"
195,17,195,21,756,758,"SYMBOL_FUNCTION_CALL",TRUE,"enquo"
196,18,196,22,773,775,"SYMBOL_FUNCTION_CALL",TRUE,"enquo"
198,11,198,26,792,794,"SYMBOL_FUNCTION_CALL",TRUE,"build_wider_spec"
208,18,208,28,887,889,"SYMBOL_FUNCTION_CALL",TRUE,"current_env"
211,14,211,27,908,910,"SYMBOL_FUNCTION_CALL",TRUE,"compat_id_cols"
214,15,214,24,940,942,"SYMBOL_FUNCTION_CALL",TRUE,"match.call"
217,14,217,37,967,969,"SYMBOL_FUNCTION_CALL",TRUE,"build_wider_id_cols_expr"
224,3,224,18,1026,1028,"SYMBOL_FUNCTION_CALL",TRUE,"pivot_wider_spec"
233,18,233,28,1108,1110,"SYMBOL_FUNCTION_CALL",TRUE,"current_env"
299,43,299,53,1360,1362,"SYMBOL_FUNCTION_CALL",TRUE,"current_env"
300,3,300,19,1371,1373,"SYMBOL_FUNCTION_CALL",TRUE,"check_dots_empty0"
301,3,301,18,1384,1386,"SYMBOL_FUNCTION_CALL",TRUE,"check_data_frame"
303,11,303,26,1410,1412,"SYMBOL_FUNCTION_CALL",TRUE,"check_pivot_spec"
304,3,304,12,1432,1434,"SYMBOL_FUNCTION_CALL",TRUE,"check_bool"
306,22,306,26,1458,1460,"SYMBOL_FUNCTION_CALL",TRUE,"names"
307,23,307,32,1493,1495,"SYMBOL_FUNCTION_CALL",TRUE,"vec_unique"
309,14,309,33,1515,1517,"SYMBOL_FUNCTION_CALL",TRUE,"select_wider_id_cols"
317,16,317,38,1584,1586,"SYMBOL_FUNCTION_CALL",TRUE,"check_list_of_functions"
319,18,319,24,1617,1619,"SYMBOL_FUNCTION_CALL",TRUE,"setdiff"
319,26,319,30,1620,1622,"SYMBOL_FUNCTION_CALL",TRUE,"names"
319,39,319,39,1634,1636,"SYMBOL_FUNCTION_CALL",TRUE,"c"
320,16,320,38,1668,1670,"SYMBOL_FUNCTION_CALL",TRUE,"check_list_of_functions"
321,18,321,22,1699,1701,"SYMBOL_FUNCTION_CALL",TRUE,"names"
323,7,323,13,1717,1719,"SYMBOL_FUNCTION_CALL",TRUE,"is.null"
324,20,324,23,1735,1737,"SYMBOL_FUNCTION_CALL",TRUE,"list"
325,14,325,22,1752,1754,"SYMBOL_FUNCTION_CALL",TRUE,"is_scalar"
326,20,326,28,1770,1772,"SYMBOL_FUNCTION_CALL",TRUE,"rep_named"
326,48,326,51,1779,1781,"SYMBOL_FUNCTION_CALL",TRUE,"list"
327,15,327,25,1806,1808,"SYMBOL_FUNCTION_CALL",TRUE,"vec_is_list"
328,10,328,18,1824,1825,"SYMBOL_FUNCTION_CALL",TRUE,"cli_abort"
333,30,333,38,1867,1869,"SYMBOL_FUNCTION_CALL",TRUE,"intersect"
333,40,333,44,1870,1872,"SYMBOL_FUNCTION_CALL",TRUE,"names"
339,11,339,19,1923,1925,"SYMBOL_FUNCTION_CALL",TRUE,"as_tibble"
