line1,col1,line2,col2,id,parent,token,terminal,text,pkg_name
195,17,195,21,756,758,SYMBOL_FUNCTION_CALL,True,enquo,rlang
196,18,196,22,773,775,SYMBOL_FUNCTION_CALL,True,enquo,rlang
198,11,198,26,792,794,SYMBOL_FUNCTION_CALL,True,build_wider_spec,tidyr
208,18,208,28,887,889,SYMBOL_FUNCTION_CALL,True,current_env,rlang
211,14,211,27,908,910,SYMBOL_FUNCTION_CALL,True,compat_id_cols,tidyr
217,14,217,37,967,969,SYMBOL_FUNCTION_CALL,True,build_wider_id_cols_expr,tidyr
224,3,224,18,1026,1028,SYMBOL_FUNCTION_CALL,True,pivot_wider_spec,tidyr
233,18,233,28,1108,1110,SYMBOL_FUNCTION_CALL,True,current_env,rlang
299,43,299,53,1360,1362,SYMBOL_FUNCTION_CALL,True,current_env,rlang
300,3,300,19,1371,1373,SYMBOL_FUNCTION_CALL,True,check_dots_empty0,rlang
301,3,301,18,1384,1386,SYMBOL_FUNCTION_CALL,True,check_data_frame,rlang
303,11,303,26,1410,1412,SYMBOL_FUNCTION_CALL,True,check_pivot_spec,tidyr
304,3,304,12,1432,1434,SYMBOL_FUNCTION_CALL,True,check_bool,dplyr
307,23,307,32,1493,1495,SYMBOL_FUNCTION_CALL,True,vec_unique,vctrs
309,14,309,33,1515,1517,SYMBOL_FUNCTION_CALL,True,select_wider_id_cols,tidyr
317,16,317,38,1584,1586,SYMBOL_FUNCTION_CALL,True,check_list_of_functions,tidyr
320,16,320,38,1668,1670,SYMBOL_FUNCTION_CALL,True,check_list_of_functions,tidyr
325,14,325,22,1752,1754,SYMBOL_FUNCTION_CALL,True,is_scalar,tidyr
326,20,326,28,1770,1772,SYMBOL_FUNCTION_CALL,True,rep_named,rlang
327,15,327,25,1806,1808,SYMBOL_FUNCTION_CALL,True,vec_is_list,vctrs
328,10,328,18,1824,1825,SYMBOL_FUNCTION_CALL,True,cli_abort,cli
339,11,339,19,1923,1925,SYMBOL_FUNCTION_CALL,True,as_tibble,tibble
340,16,340,25,1943,1945,SYMBOL_FUNCTION_CALL,True,vec_unique,vctrs
343,13,343,20,2002,2004,SYMBOL_FUNCTION_CALL,True,complete,tidyr
343,31,343,34,2014,2016,SYMBOL_FUNCTION_CALL,True,syms,rlang
348,13,348,24,2084,2086,SYMBOL_FUNCTION_CALL,True,vec_group_id,vctrs
350,11,350,19,2124,2126,SYMBOL_FUNCTION_CALL,True,vec_slice,rlang
350,27,350,40,2133,2135,SYMBOL_FUNCTION_CALL,True,vec_unique_loc,vctrs
359,20,359,32,2235,2237,SYMBOL_FUNCTION_CALL,True,vec_group_loc,vctrs
368,20,368,34,2351,2353,SYMBOL_FUNCTION_CALL,True,value_summarize,tidyr
378,21,378,30,2429,2430,SYMBOL_FUNCTION_CALL,True,new_tibble,tibble
383,16,383,23,2509,2511,SYMBOL_FUNCTION_CALL,True,vec_init,rlang
391,15,391,23,2667,2669,SYMBOL_FUNCTION_CALL,True,vec_match,vctrs
391,25,391,33,2670,2672,SYMBOL_FUNCTION_CALL,True,as_tibble,tibble
396,30,396,46,2775,2777,SYMBOL_FUNCTION_CALL,True,vec_duplicate_any,vctrs
403,17,403,29,2857,2859,SYMBOL_FUNCTION_CALL,True,vec_group_loc,vctrs
407,16,407,30,2900,2902,SYMBOL_FUNCTION_CALL,True,value_summarize,tidyr
421,14,421,21,3030,3032,SYMBOL_FUNCTION_CALL,True,vec_init,rlang
423,17,423,24,3064,3066,SYMBOL_FUNCTION_CALL,True,vec_size,rlang
424,15,424,22,3089,3091,SYMBOL_FUNCTION_CALL,True,vec_cast,rlang
425,14,425,25,3120,3122,SYMBOL_FUNCTION_CALL,True,vec_rep_each,vctrs
427,12,427,21,3155,3157,SYMBOL_FUNCTION_CALL,True,vec_assign,rlang
429,23,429,41,3217,3219,SYMBOL_FUNCTION_CALL,True,chop_rectangular_df,tidyr
433,30,433,37,3276,3277,SYMBOL_FUNCTION_CALL,True,backtick,glue
434,30,434,42,3295,3296,SYMBOL_FUNCTION_CALL,True,glue_collapse,glue
437,19,437,43,3353,3355,SYMBOL_FUNCTION_CALL,True,backtick_if_not_syntactic,tidyr
438,25,438,37,3372,3373,SYMBOL_FUNCTION_CALL,True,glue_collapse,glue
440,10,440,17,3398,3399,SYMBOL_FUNCTION_CALL,True,cli_warn,cli
452,13,452,21,3490,3492,SYMBOL_FUNCTION_CALL,True,vec_cbind,rlang
457,10,457,25,3548,3550,SYMBOL_FUNCTION_CALL,True,wrap_error_names,tidyr
457,27,457,35,3551,3553,SYMBOL_FUNCTION_CALL,True,vec_cbind,rlang
465,3,465,20,3606,3608,SYMBOL_FUNCTION_CALL,True,reconstruct_tibble,tidyr
481,43,481,53,3724,3726,SYMBOL_FUNCTION_CALL,True,current_env,rlang
482,3,482,19,3735,3737,SYMBOL_FUNCTION_CALL,True,check_dots_empty0,rlang
484,29,484,39,3755,3756,SYMBOL_FUNCTION_CALL,True,eval_select,tidyselect
485,5,485,9,3759,3761,SYMBOL_FUNCTION_CALL,True,enquo,rlang
491,30,491,40,3818,3819,SYMBOL_FUNCTION_CALL,True,eval_select,tidyselect
492,5,492,9,3822,3824,SYMBOL_FUNCTION_CALL,True,enquo,rlang
499,3,499,14,3878,3880,SYMBOL_FUNCTION_CALL,True,check_string,dplyr
500,3,500,14,3899,3901,SYMBOL_FUNCTION_CALL,True,check_string,dplyr
501,3,501,14,3920,3922,SYMBOL_FUNCTION_CALL,True,check_string,dplyr
502,3,502,12,3949,3951,SYMBOL_FUNCTION_CALL,True,check_bool,dplyr
503,3,503,12,3970,3972,SYMBOL_FUNCTION_CALL,True,check_bool,dplyr
505,17,505,26,3996,3998,SYMBOL_FUNCTION_CALL,True,arg_match0,rlang
512,11,512,19,4060,4062,SYMBOL_FUNCTION_CALL,True,as_tibble,tibble
517,16,517,21,4107,4109,SYMBOL_FUNCTION_CALL,True,expand,tidyr
517,32,517,35,4119,4121,SYMBOL_FUNCTION_CALL,True,syms,rlang
519,16,519,25,4159,4161,SYMBOL_FUNCTION_CALL,True,vec_unique,vctrs
522,18,522,25,4187,4189,SYMBOL_FUNCTION_CALL,True,vec_sort,vctrs
526,16,526,19,4221,4223,SYMBOL_FUNCTION_CALL,True,exec,rlang
528,10,528,15,4260,4262,SYMBOL_FUNCTION_CALL,True,tibble,tibble
529,13,529,22,4266,4268,SYMBOL_FUNCTION_CALL,True,vec_paste0,dplyr
536,14,536,20,4358,4360,SYMBOL_FUNCTION_CALL,True,vec_rep,rlang
536,27,536,34,4367,4369,SYMBOL_FUNCTION_CALL,True,vec_size,rlang
537,21,537,32,4392,4394,SYMBOL_FUNCTION_CALL,True,vec_rep_each,vctrs
537,54,537,61,4409,4411,SYMBOL_FUNCTION_CALL,True,vec_size,rlang
538,18,538,24,4431,4433,SYMBOL_FUNCTION_CALL,True,vec_rep,rlang
538,35,538,42,4440,4442,SYMBOL_FUNCTION_CALL,True,vec_size,rlang
540,14,540,25,4469,4471,SYMBOL_FUNCTION_CALL,True,vec_rep_each,vctrs
540,32,540,39,4478,4480,SYMBOL_FUNCTION_CALL,True,vec_size,rlang
541,21,541,27,4503,4505,SYMBOL_FUNCTION_CALL,True,vec_rep,rlang
541,49,541,56,4520,4522,SYMBOL_FUNCTION_CALL,True,vec_size,rlang
542,18,542,29,4542,4544,SYMBOL_FUNCTION_CALL,True,vec_rep_each,vctrs
542,40,542,47,4551,4553,SYMBOL_FUNCTION_CALL,True,vec_size,rlang
545,18,545,27,4586,4588,SYMBOL_FUNCTION_CALL,True,vec_paste0,dplyr
548,10,548,18,4631,4633,SYMBOL_FUNCTION_CALL,True,vec_cbind,rlang
548,25,548,33,4640,4642,SYMBOL_FUNCTION_CALL,True,as_tibble,tibble
